Intrinsic	Sentence
Yes	The overall systemic clearance of dofetilide is decreased and plasma concentration increased with decreasing creatinine clearance. 
No	Sunitinib total oral clearance (CL/F) ranged from 34 to 62 L/h with an interpatient variability of 40%. 
No	No clinically significant differences in the pharmacokinetics of sunitinib or the primary active metabolite were observed based on age (18 to 84 years), body weight (34 to 168 kg), race (White, Black, or Asian), sex, Eastern Cooperative Oncology Group (ECOG) score, mild (Child-Pugh Class A) or moderate (Child-Pugh Class B) hepatic impairment. 
No	In female patients, SSRI use may result in decreased libido and delayed or absent orgasm. 
Yes	Although sunitinib was not eliminated through hemodialysis, the sunitinib systemic exposure was 47% lower in patients with end stage renal disease (ESRD) on hemodialysis compared to patients with normal renal function. 
No	Effect of strong CYP3A4 inhibitors on sunitinib: Co-administration of a single SUTENT dose with ketoconazole (strong CYP3A4 inhibitor) increased the combined sunitinib and its active metabolite Cmax and AUC0U+2013>inf by 49% and 51%, respectively, in healthy subjects. 
Yes	In subjects with moderate renal impairment (estimated creatinine clearance U+2265>30 mL/min and U+2264>50 mL/min), varenicline exposure increased 1.5-fold compared with subjects with normal renal function (estimated creatinine clearance >80 mL/min). 
Yes	Oxaprozin tablets is substantially excreted by the kidney, and the risk of toxic reactions to oxaprozin may be greater in patients with impaired renal function. 
No	Only low concentrations are normally achieved in the spinal fluid, but passage of the drug across the blood-brain barrier increases in meningitis. 
Yes	Population pharmacokinetic analyses indicate that the plasma concentration of dofetilide in patients with supraventricular and ventricular arrhythmias, ischemic heart disease, or congestive heart failure are similar to those of healthy volunteers, after adjusting for renal function. 
Yes	After correction for renal function, clearance of dofetilide is not related to age. 
Yes	A population pharmacokinetic analysis showed that women have approximately 12-18% lower dofetilide oral clearances than men (14-22% greater plasma dofetilide levels), after correction for weight and creatinine clearance. 
No	In females, as in males, renal function was the single most important factor influencing dofetilide clearance. 
No	Coadministration of this oral contraceptive did not influence the pharmacokinetics of levetiracetam. 
No	Levetiracetam (1000 mg twice daily) did not influence the pharmacokinetics of R and S warfarin. 
No	Probenecid, a renal tubular secretion blocking agent, administered at a dose of 500 mg four times a day, did not change the pharmacokinetics of levetiracetam 1000 mg twice daily. 
Yes	Based on these findings, the use of fenofibrate tablets should be avoided in patients who have severe renal impairment and dose reduction is required in patients having mild to moderate renal impairment [see ]. 
Yes	In elderly volunteers 77 to 87 years of age, the oral clearance of fenofibric acid following a single oral dose of fenofibrate was 1.2 L/h, which compares to 1.1 L/h in young adults. 
No	This indicates that a similar dosage regimen can be used in elderly with normal renal function, without increasing accumulation of the drug or metabolites [see and ]. 
No	Results from another crossover study in healthy subjects showed a similar pharmacokinetic interaction between clopidogrel (300 mg loading dose/75 mg daily maintenance dose) and omeprazole 80 mg daily when co-administered for 30 days. 
No	Administration of omeprazole 20 mg twice daily for 4 days and a single 1000 mg dose of MMF approximately one hour after the last dose of omeprazole to 12 healthy subjects in a cross-over study resulted in a 52% reduction in the C max and 23% reduction in the AUC of MPA [see Drug Interactions ( )]. 
No	Omeprazole, given in doses of 40 mg daily for one week to 20 healthy subjects in cross-over study, increased C max and AUC of cilostazol by 18% and 26% respectively. 
No	In healthy subjects, no difference was observed between CYP2D6 extensive metabolizers (EMs) and poor metabolizers (PMs) with respect to oral clearance or elimination half-life. 
Yes	Partial clearance of 4-hydroxy propranolol was significantly higher and of naphthyloxyactic acid significantly lower in EMs than PMs. 
No	In normal subjects receiving oral doses of racemic propranolol, S(-)-enantiomer concentrations exceeded those of the R(+)-enantiomer by 40-90% as a result of stereoselective hepatic metabolism. 
No	The in vivo assessments of effect of other drugs on the pharmacokinetics of quetiapine are summarized in Table 17 and and Table 17 The Effect of Other Drugs on the Pharmacokinetics of Quetiapine 
No	In some cases, serum blood level determinations may be necessary for optimal dosage adjustments. 
Yes	In patients with renal or hepatic disease, or in those with hypoalbuminemia, the monitoring of unbound phenytoin concentrations may be more relevant [see ]. 
No	Because there is approximately an 8% increase in drug content with the free acid form over that of the sodium salt, dosage adjustments and serum level monitoring may be necessary when switching from a product formulated with the free acid to a product formulated with the sodium salt and vice versa. 
No	Concurrent administration of lorazepam with valproate may result in increased plasma concentrations and reduced clearance of lorazepam. 
No	Lorazepam dosage should be reduced to approximately 50% when coadministered with valproate. 
No	Concurrent administration of lorazepam with probenecid may result in a more rapid onset or prolonged effect of lorazepam due to increased half-life and decreased total clearance. 
Yes	The steady-state concentrations of clarithromycin in subjects with impaired hepatic function did not differ from those in normal subjects; however, the 14-OH clarithromycin concentrations were lower in the hepatically impaired subjects. 
Yes	The decreased formation of 14-OH clarithromycin was at least partially offset by an increase in renal clearance of clarithromycin in the subjects with impaired hepatic function when compared to healthy subjects. 
Yes	The pharmacokinetics of clarithromycin was also altered in subjects with impaired renal function [seeU+00A0> and ]. 
Yes	Elderly patients have decreased clearance of amlodipine with a resulting increase of AUC of approximately 40 to 60%, and a lower initial dose may be required [see Dosage and Administration ()]. 
No	Limited measurements of peak response (2 to 3 hours after dosing) during chronic terazosin administration indicate that it is greater than about twice the trough (24 hour) response, suggesting some attenuation of response at 24 hours, presumably due to a fall in blood terazosin concentrations at the end of the dose interval.
No	Administration of capsules immediately after meals had a minimal effect on the extent of absorption.
